Trading simulation for AUDUSD:
  Short position opened at 1.60012, closed at 1.60116, profit: -0.50, balance: 9970.58
  Short position opened at 1.60081, closed at 1.60139, profit: -0.36, balance: 9970.22
  Short position opened at 1.60081, closed at 1.60139, profit: -0.36, balance: 9969.86
  Short position opened at 1.60116, closed at 1.60150, profit: -0.22, balance: 9969.64
  Short position opened at 1.60116, closed at 1.60185, profit: -0.43, balance: 9969.21
  Short position opened at 1.60127, closed at 1.60208, profit: -0.50, balance: 9968.71
  Short position opened at 1.60139, closed at 1.60231, profit: -0.50, balance: 9968.21
  Short position opened at 1.60139, closed at 1.60231, profit: -0.50, balance: 9967.71
  Short position opened at 1.60150, closed at 1.60231, profit: -0.50, balance: 9967.21
  Short position opened at 1.60185, closed at 1.60312, profit: -0.50, balance: 9966.71
  Short position opened at 1.60208, closed at 1.60312, profit: -0.50, balance: 9966.21
  Short position opened at 1.60231, closed at 1.60312, profit: -0.50, balance: 9965.71
  Short position opened at 1.60312, closed at 1.60405, profit: -0.50, balance: 9965.21
  Short position opened at 1.60312, closed at 1.60405, profit: -0.50, balance: 9964.71
  Short position opened at 1.60405, closed at 1.60475, profit: -0.43, balance: 9964.27
  Short position opened at 1.60428, closed at 1.60498, profit: -0.43, balance: 9963.84
  Short position opened at 1.60428, closed at 1.60498, profit: -0.43, balance: 9963.41
  Short position opened at 1.60451, closed at 1.60509, profit: -0.36, balance: 9963.05
  Short position opened at 1.60475, closed at 1.60532, profit: -0.36, balance: 9962.69
  Short position opened at 1.60475, closed at 1.60532, profit: -0.36, balance: 9962.33
  Short position opened at 1.60498, closed at 1.60544, profit: -0.29, balance: 9962.04
  Short position opened at 1.60498, closed at 1.60556, profit: -0.36, balance: 9961.68
  Short position opened at 1.60509, closed at 1.60567, profit: -0.36, balance: 9961.32
  Short position opened at 1.60532, closed at 1.60579, profit: -0.29, balance: 9961.03
  Short position opened at 1.60532, closed at 1.60590, profit: -0.36, balance: 9960.67
  Short position opened at 1.60544, closed at 1.60590, profit: -0.29, balance: 9960.38
  Short position opened at 1.60556, closed at 1.60625, profit: -0.43, balance: 9959.95
  Short position opened at 1.60567, closed at 1.60671, profit: -0.50, balance: 9959.45
  Short position opened at 1.60579, closed at 1.60671, profit: -0.50, balance: 9958.95
  Short position opened at 1.60590, closed at 1.60671, profit: -0.50, balance: 9958.45
  Short position opened at 1.60590, closed at 1.60671, profit: -0.50, balance: 9957.95
  Short position opened at 1.60625, closed at 1.60752, profit: -0.50, balance: 9957.45
  Short position opened at 1.60671, closed at 1.60752, profit: -0.50, balance: 9956.95
  Short position opened at 1.60694, closed at 1.61343, profit: -0.50, balance: 9956.45
  Short position opened at 1.60752, closed at 1.61343, profit: -0.50, balance: 9955.95
  Short position opened at 1.61343, closed at 1.61493, profit: -0.50, balance: 9955.45
  Short position opened at 1.61354, closed at 1.61493, profit: -0.50, balance: 9954.95
  Short position opened at 1.61389, closed at 1.61493, profit: -0.50, balance: 9954.45
  Short position opened at 1.61493, closed at 1.61597, profit: -0.50, balance: 9953.95
  Short position opened at 1.61493, closed at 1.61597, profit: -0.50, balance: 9953.45
