Local time,Ask,Bid,AskVolume,BidVolume
30.10.2024 00:01:57.567 GMT-0700,0.6555500000000001,0.65547,1200000.0477,1200000.0477
30.10.2024 00:01:57.670 GMT-0700,0.65558,0.65546,3690000.0572,1799999.9523
30.10.2024 00:01:57.772 GMT-0700,0.65557,0.65547,3720000.0286,1799999.9523
30.10.2024 00:01:59.334 GMT-0700,0.65556,0.65546,1200000.0477,1200000.0477
30.10.2024 00:02:02.704 GMT-0700,0.65554,0.65546,1200000.0477,1200000.0477
30.10.2024 00:02:02.806 GMT-0700,0.65554,0.65545,1200000.0477,1799999.9523
30.10.2024 00:02:11.440 GMT-0700,0.65554,0.6554300000000001,1200000.0477,1799999.9523
30.10.2024 00:02:14.719 GMT-0700,0.65554,0.65545,1889999.9857,1200000.0477
30.10.2024 00:02:15.229 GMT-0700,0.6555500000000001,0.65547,1799999.9523,1799999.9523
30.10.2024 00:02:16.396 GMT-0700,0.65557,0.65547,3599999.9046,1799999.9523
30.10.2024 00:02:16.750 GMT-0700,0.65556,0.65547,1200000.0477,1200000.0477
30.10.2024 00:02:17.466 GMT-0700,0.6555500000000001,0.65546,1200000.0477,1799999.9523
30.10.2024 00:02:19.591 GMT-0700,0.65554,0.65545,1799999.9523,1200000.0477
30.10.2024 00:02:41.361 GMT-0700,0.65552,0.65542,1200000.0477,1200000.0477
30.10.2024 00:02:41.465 GMT-0700,0.6554800000000001,0.6553800000000001,1889999.9857,2700000.0477
30.10.2024 00:02:41.669 GMT-0700,0.65549,0.6553800000000001,1799999.9523,1200000.0477
30.10.2024 00:02:41.873 GMT-0700,0.6554800000000001,0.6553800000000001,1799999.9523,1799999.9523
30.10.2024 00:02:44.906 GMT-0700,0.65546,0.65537,1200000.0477,1200000.0477
30.10.2024 00:02:45.012 GMT-0700,0.6554300000000001,0.65537,1200000.0477,1200000.0477
30.10.2024 00:02:45.064 GMT-0700,0.6554300000000001,0.65534,1799999.9523,2700000.0477
30.10.2024 00:02:50.488 GMT-0700,0.6554300000000001,0.65535,1799999.9523,1200000.0477
30.10.2024 00:02:50.691 GMT-0700,0.6554300000000001,0.65534,1799999.9523,1799999.9523
30.10.2024 00:02:52.462 GMT-0700,0.6554300000000001,0.65535,1799999.9523,1200000.0477
30.10.2024 00:02:52.665 GMT-0700,0.6554300000000001,0.65534,1799999.9523,1799999.9523
30.10.2024 00:02:53.270 GMT-0700,0.6554300000000001,0.65535,1200000.0477,1200000.0477
30.10.2024 00:02:54.077 GMT-0700,0.65544,0.65535,1200000.0477,4500000
30.10.2024 00:02:54.129 GMT-0700,0.65546,0.65537,1200000.0477,3599999.9046
30.10.2024 00:02:54.232 GMT-0700,0.65546,0.6553800000000001,1200000.0477,1200000.0477
30.10.2024 00:02:54.997 GMT-0700,0.6554800000000001,0.6554,1799999.9523,1200000.0477
30.10.2024 00:02:55.304 GMT-0700,0.65547,0.6554,1200000.0477,1200000.0477
30.10.2024 00:02:55.406 GMT-0700,0.6554800000000001,0.6554,1200000.0477,1200000.0477
30.10.2024 00:02:57.373 GMT-0700,0.65549,0.6554,1200000.0477,1799999.9523
30.10.2024 00:02:59.393 GMT-0700,0.65551,0.65541,1799999.9523,1200000.0477
30.10.2024 00:02:59.499 GMT-0700,0.6555300000000001,0.65545,1200000.0477,1200000.0477
30.10.2024 00:03:03.490 GMT-0700,0.65552,0.65545,1200000.0477,1200000.0477
30.10.2024 00:03:03.593 GMT-0700,0.65551,0.65544,1200000.0477,1200000.0477
30.10.2024 00:03:04.049 GMT-0700,0.6555300000000001,0.6554300000000001,1200000.0477,1200000.0477
30.10.2024 00:03:09.448 GMT-0700,0.65554,0.6554300000000001,1200000.0477,2700000.0477
