Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1259 (4.48%)
40-50%: 7337 (26.13%)
50-60%: 5400 (19.23%)
60-70%: 4022 (14.33%)
70-80%: 3589 (12.78%)
80-90%: 5649 (20.12%)
90-100%: 819 (2.92%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1033 (20.39%)
40-50%: 2320 (45.79%)
50-60%: 792 (15.63%)
60-70%: 454 (8.96%)
70-80%: 84 (1.66%)
80-90%: 171 (3.37%)
90-100%: 213 (4.20%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 493 (14.11%)
40-50%: 1637 (46.85%)
50-60%: 597 (17.09%)
60-70%: 226 (6.47%)
70-80%: 125 (3.58%)
80-90%: 190 (5.44%)
90-100%: 226 (6.47%)
