Confidence Level Distribution for EURUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 3259 (8.48%)
40-50%: 14446 (37.61%)
50-60%: 5290 (13.77%)
60-70%: 4078 (10.62%)
70-80%: 4548 (11.84%)
80-90%: 6721 (17.50%)
90-100%: 70 (0.18%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1766 (21.53%)
40-50%: 5847 (71.29%)
50-60%: 126 (1.54%)
60-70%: 79 (0.96%)
70-80%: 136 (1.66%)
80-90%: 168 (2.05%)
90-100%: 80 (0.98%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 381 (14.84%)
40-50%: 683 (26.61%)
50-60%: 346 (13.48%)
60-70%: 405 (15.78%)
70-80%: 425 (16.56%)
80-90%: 184 (7.17%)
90-100%: 143 (5.57%)
