Confidence Level Distribution for USDCHF:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 514 (1.17%)
40-50%: 5355 (12.18%)
50-60%: 15866 (36.08%)
60-70%: 10306 (23.43%)
70-80%: 2697 (6.13%)
80-90%: 7588 (17.25%)
90-100%: 1652 (3.76%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 171 (16.59%)
40-50%: 182 (17.65%)
50-60%: 79 (7.66%)
60-70%: 41 (3.98%)
70-80%: 22 (2.13%)
80-90%: 260 (25.22%)
90-100%: 276 (26.77%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 603 (14.38%)
40-50%: 2161 (51.53%)
50-60%: 719 (17.14%)
60-70%: 137 (3.27%)
70-80%: 306 (7.30%)
80-90%: 166 (3.96%)
90-100%: 102 (2.43%)
