Confidence Level Distribution for NZDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 876 (2.45%)
40-50%: 8424 (23.55%)
50-60%: 9358 (26.17%)
60-70%: 6814 (19.05%)
70-80%: 4445 (12.43%)
80-90%: 5462 (15.27%)
90-100%: 385 (1.08%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 240 (10.14%)
40-50%: 994 (41.99%)
50-60%: 533 (22.52%)
60-70%: 172 (7.27%)
70-80%: 93 (3.93%)
80-90%: 183 (7.73%)
90-100%: 152 (6.42%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 330 (10.93%)
40-50%: 832 (27.55%)
50-60%: 921 (30.50%)
60-70%: 419 (13.87%)
70-80%: 82 (2.72%)
80-90%: 138 (4.57%)
90-100%: 298 (9.87%)
