Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1842 (7.03%)
40-50%: 4843 (18.49%)
50-60%: 4987 (19.04%)
60-70%: 8894 (33.96%)
70-80%: 5473 (20.89%)
80-90%: 154 (0.59%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2255 (15.85%)
40-50%: 9241 (64.94%)
50-60%: 2473 (17.38%)
60-70%: 85 (0.60%)
70-80%: 122 (0.86%)
80-90%: 55 (0.39%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2262 (25.88%)
40-50%: 2585 (29.58%)
50-60%: 1451 (16.60%)
60-70%: 1266 (14.49%)
70-80%: 789 (9.03%)
80-90%: 96 (1.10%)
90-100%: 290 (3.32%)
