Confidence Level Distribution for NZDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 4116 (14.23%)
40-50%: 7692 (26.59%)
50-60%: 8294 (28.67%)
60-70%: 6726 (23.25%)
70-80%: 2105 (7.28%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 530 (71.43%)
40-50%: 188 (25.34%)
50-60%: 24 (3.23%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2294 (17.54%)
40-50%: 8677 (66.36%)
50-60%: 918 (7.02%)
60-70%: 615 (4.70%)
70-80%: 462 (3.53%)
80-90%: 63 (0.48%)
90-100%: 47 (0.36%)
