Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1846 (6.66%)
40-50%: 5246 (18.94%)
50-60%: 4942 (17.84%)
60-70%: 3023 (10.91%)
70-80%: 7019 (25.34%)
80-90%: 5627 (20.31%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 689 (64.76%)
40-50%: 330 (31.02%)
50-60%: 45 (4.23%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1560 (16.84%)
40-50%: 5984 (64.60%)
50-60%: 846 (9.13%)
60-70%: 259 (2.80%)
70-80%: 499 (5.39%)
80-90%: 43 (0.46%)
90-100%: 72 (0.78%)
