Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1036 (2.53%)
40-50%: 14832 (36.15%)
50-60%: 5315 (12.95%)
60-70%: 2349 (5.73%)
70-80%: 6114 (14.90%)
80-90%: 10572 (25.77%)
90-100%: 811 (1.98%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 546 (7.35%)
40-50%: 5567 (74.99%)
50-60%: 1135 (15.29%)
60-70%: 119 (1.60%)
70-80%: 57 (0.77%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 79 (11.13%)
40-50%: 79 (11.13%)
50-60%: 119 (16.76%)
60-70%: 324 (45.63%)
70-80%: 58 (8.17%)
80-90%: 51 (7.18%)
90-100%: 0 (0.00%)
