Confidence Level Distribution for USDCHF:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 36 (0.08%)
40-50%: 8490 (18.14%)
50-60%: 16968 (36.25%)
60-70%: 11281 (24.10%)
70-80%: 9036 (19.30%)
80-90%: 1003 (2.14%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 0 (0.00%)
40-50%: 386 (55.14%)
50-60%: 55 (7.86%)
60-70%: 178 (25.43%)
70-80%: 81 (11.57%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 7 (0.41%)
40-50%: 103 (6.10%)
50-60%: 177 (10.48%)
60-70%: 486 (28.77%)
70-80%: 847 (50.15%)
80-90%: 69 (4.09%)
90-100%: 0 (0.00%)
