Confidence Level Distribution for USDCHF:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 152 (0.32%)
40-50%: 4705 (9.87%)
50-60%: 27467 (57.61%)
60-70%: 5932 (12.44%)
70-80%: 8947 (18.77%)
80-90%: 476 (1.00%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 169 (13.17%)
40-50%: 216 (16.84%)
50-60%: 64 (4.99%)
60-70%: 10 (0.78%)
70-80%: 235 (18.32%)
80-90%: 586 (45.67%)
90-100%: 3 (0.23%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 28 (11.62%)
40-50%: 141 (58.51%)
50-60%: 21 (8.71%)
60-70%: 28 (11.62%)
70-80%: 23 (9.54%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
