Confidence Level Distribution for EURUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2859 (6.02%)
40-50%: 20781 (43.75%)
50-60%: 10480 (22.06%)
60-70%: 10598 (22.31%)
70-80%: 2780 (5.85%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 73 (11.46%)
40-50%: 140 (21.98%)
50-60%: 150 (23.55%)
60-70%: 189 (29.67%)
70-80%: 85 (13.34%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 441 (42.16%)
40-50%: 325 (31.07%)
50-60%: 80 (7.65%)
60-70%: 63 (6.02%)
70-80%: 122 (11.66%)
80-90%: 15 (1.43%)
90-100%: 0 (0.00%)
