Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2952 (8.78%)
40-50%: 9382 (27.90%)
50-60%: 8820 (26.23%)
60-70%: 2662 (7.92%)
70-80%: 7774 (23.12%)
80-90%: 2040 (6.07%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 4572 (41.04%)
40-50%: 6058 (54.38%)
50-60%: 129 (1.16%)
60-70%: 184 (1.65%)
70-80%: 186 (1.67%)
80-90%: 11 (0.10%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1586 (36.10%)
40-50%: 2010 (45.75%)
50-60%: 534 (12.16%)
60-70%: 110 (2.50%)
70-80%: 71 (1.62%)
80-90%: 82 (1.87%)
90-100%: 0 (0.00%)
