Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2375 (7.09%)
40-50%: 10411 (31.07%)
50-60%: 5223 (15.59%)
60-70%: 3890 (11.61%)
70-80%: 4260 (12.71%)
80-90%: 7348 (21.93%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 207 (22.57%)
40-50%: 444 (48.42%)
50-60%: 118 (12.87%)
60-70%: 148 (16.14%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 433 (19.58%)
40-50%: 1105 (49.95%)
50-60%: 516 (23.33%)
60-70%: 65 (2.94%)
70-80%: 6 (0.27%)
80-90%: 87 (3.93%)
90-100%: 0 (0.00%)
