Confidence Level Distribution for EURUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1820 (3.99%)
40-50%: 22460 (49.19%)
50-60%: 7423 (16.26%)
60-70%: 4267 (9.35%)
70-80%: 6410 (14.04%)
80-90%: 3277 (7.18%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 29 (4.26%)
40-50%: 243 (35.74%)
50-60%: 126 (18.53%)
60-70%: 116 (17.06%)
70-80%: 166 (24.41%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 302 (10.62%)
40-50%: 1087 (38.22%)
50-60%: 735 (25.84%)
60-70%: 409 (14.38%)
70-80%: 38 (1.34%)
80-90%: 270 (9.49%)
90-100%: 3 (0.11%)
