Confidence Level Distribution for NZDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 905 (2.43%)
40-50%: 13317 (35.74%)
50-60%: 9833 (26.39%)
60-70%: 4667 (12.53%)
70-80%: 6462 (17.34%)
80-90%: 2074 (5.57%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 157 (9.05%)
40-50%: 715 (41.21%)
50-60%: 357 (20.58%)
60-70%: 143 (8.24%)
70-80%: 172 (9.91%)
80-90%: 191 (11.01%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 170 (7.88%)
40-50%: 974 (45.13%)
50-60%: 511 (23.68%)
60-70%: 54 (2.50%)
70-80%: 267 (12.37%)
80-90%: 182 (8.43%)
90-100%: 0 (0.00%)
