Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 3378 (11.19%)
40-50%: 7041 (23.33%)
50-60%: 6344 (21.02%)
60-70%: 11677 (38.69%)
70-80%: 1744 (5.78%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 4898 (39.74%)
40-50%: 7097 (57.58%)
50-60%: 102 (0.83%)
60-70%: 64 (0.52%)
70-80%: 152 (1.23%)
80-90%: 12 (0.10%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1152 (17.31%)
40-50%: 2465 (37.05%)
50-60%: 1743 (26.19%)
60-70%: 893 (13.42%)
70-80%: 114 (1.71%)
80-90%: 145 (2.18%)
90-100%: 142 (2.13%)
