Confidence Level Distribution for USDCHF:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 123 (0.26%)
40-50%: 5538 (11.65%)
50-60%: 22334 (46.97%)
60-70%: 9928 (20.88%)
70-80%: 675 (1.42%)
80-90%: 8952 (18.83%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 32 (3.68%)
40-50%: 64 (7.36%)
50-60%: 61 (7.02%)
60-70%: 131 (15.07%)
70-80%: 33 (3.80%)
80-90%: 230 (26.47%)
90-100%: 318 (36.59%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 22 (2.81%)
40-50%: 260 (33.16%)
50-60%: 174 (22.19%)
60-70%: 141 (17.98%)
70-80%: 157 (20.03%)
80-90%: 30 (3.83%)
90-100%: 0 (0.00%)
