Confidence Level Distribution for USDJPY:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2408 (13.45%)
40-50%: 4897 (27.35%)
50-60%: 2870 (16.03%)
60-70%: 4221 (23.57%)
70-80%: 3302 (18.44%)
80-90%: 208 (1.16%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1664 (27.52%)
40-50%: 2873 (47.52%)
50-60%: 512 (8.47%)
60-70%: 38 (0.63%)
70-80%: 87 (1.44%)
80-90%: 652 (10.78%)
90-100%: 220 (3.64%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 3150 (12.54%)
40-50%: 16979 (67.59%)
50-60%: 4991 (19.87%)
60-70%: 0 (0.00%)
70-80%: 0 (0.00%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
