Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1563 (4.70%)
40-50%: 11841 (35.60%)
50-60%: 7055 (21.21%)
60-70%: 3668 (11.03%)
70-80%: 3452 (10.38%)
80-90%: 5673 (17.06%)
90-100%: 6 (0.02%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 299 (30.05%)
40-50%: 277 (27.84%)
50-60%: 38 (3.82%)
60-70%: 27 (2.71%)
70-80%: 273 (27.44%)
80-90%: 81 (8.14%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 288 (12.09%)
40-50%: 1259 (52.83%)
50-60%: 366 (15.36%)
60-70%: 183 (7.68%)
70-80%: 130 (5.46%)
80-90%: 157 (6.59%)
90-100%: 0 (0.00%)
