Confidence Level Distribution for GBPUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 3091 (8.68%)
40-50%: 7986 (22.42%)
50-60%: 5422 (15.22%)
60-70%: 4696 (13.18%)
70-80%: 8391 (23.55%)
80-90%: 6040 (16.95%)
90-100%: 0 (0.00%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1645 (22.45%)
40-50%: 4876 (66.55%)
50-60%: 565 (7.71%)
60-70%: 59 (0.81%)
70-80%: 97 (1.32%)
80-90%: 85 (1.16%)
90-100%: 0 (0.00%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1211 (19.50%)
40-50%: 1726 (27.79%)
50-60%: 943 (15.19%)
60-70%: 1140 (18.36%)
70-80%: 804 (12.95%)
80-90%: 66 (1.06%)
90-100%: 320 (5.15%)
