Confidence Level Distribution for USDJPY:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1488 (7.33%)
40-50%: 5194 (25.57%)
50-60%: 4232 (20.84%)
60-70%: 2639 (12.99%)
70-80%: 2898 (14.27%)
80-90%: 3715 (18.29%)
90-100%: 144 (0.71%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 910 (17.79%)
40-50%: 2674 (52.29%)
50-60%: 440 (8.60%)
60-70%: 106 (2.07%)
70-80%: 8 (0.16%)
80-90%: 25 (0.49%)
90-100%: 951 (18.60%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1304 (5.51%)
40-50%: 6862 (29.02%)
50-60%: 9990 (42.24%)
60-70%: 5203 (22.00%)
70-80%: 289 (1.22%)
80-90%: 0 (0.00%)
90-100%: 0 (0.00%)
