Confidence Level Distribution for EURUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 2492 (6.05%)
40-50%: 14112 (34.26%)
50-60%: 9206 (22.35%)
60-70%: 4789 (11.63%)
70-80%: 4502 (10.93%)
80-90%: 5151 (12.51%)
90-100%: 939 (2.28%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1821 (28.58%)
40-50%: 3645 (57.20%)
50-60%: 330 (5.18%)
60-70%: 23 (0.36%)
70-80%: 96 (1.51%)
80-90%: 146 (2.29%)
90-100%: 311 (4.88%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 265 (16.38%)
40-50%: 235 (14.52%)
50-60%: 204 (12.61%)
60-70%: 285 (17.61%)
70-80%: 294 (18.17%)
80-90%: 52 (3.21%)
90-100%: 283 (17.49%)
