Confidence Level Distribution for NZDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 446 (1.25%)
40-50%: 7317 (20.45%)
50-60%: 9672 (27.03%)
60-70%: 7939 (22.19%)
70-80%: 5039 (14.08%)
80-90%: 4958 (13.86%)
90-100%: 413 (1.15%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 191 (5.49%)
40-50%: 2058 (59.19%)
50-60%: 700 (20.13%)
60-70%: 110 (3.16%)
70-80%: 36 (1.04%)
80-90%: 101 (2.90%)
90-100%: 281 (8.08%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 73 (3.86%)
40-50%: 675 (35.71%)
50-60%: 495 (26.19%)
60-70%: 173 (9.15%)
70-80%: 39 (2.06%)
80-90%: 78 (4.13%)
90-100%: 357 (18.89%)
