Confidence Level Distribution for AUDUSD:

Class 0:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 1780 (6.54%)
40-50%: 5020 (18.44%)
50-60%: 5663 (20.80%)
60-70%: 3682 (13.52%)
70-80%: 5622 (20.65%)
80-90%: 4881 (17.93%)
90-100%: 581 (2.13%)

Class 1:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 914 (16.15%)
40-50%: 2248 (39.73%)
50-60%: 1519 (26.85%)
60-70%: 519 (9.17%)
70-80%: 63 (1.11%)
80-90%: 37 (0.65%)
90-100%: 358 (6.33%)

Class 2:
0-10%: 0 (0.00%)
10-20%: 0 (0.00%)
20-30%: 0 (0.00%)
30-40%: 468 (12.48%)
40-50%: 1184 (31.58%)
50-60%: 1336 (35.64%)
60-70%: 183 (4.88%)
70-80%: 87 (2.32%)
80-90%: 57 (1.52%)
90-100%: 434 (11.58%)
